These data were taken from the�NASA Exoplanet Archive.
Name      Orbital PePlanet MasPlanet MasSemi-majorEccentriciStellar MaDiscovery Discovery
51 Peg b       4.231    0.472        150   0.0527     0.013      1.12 Radial VelMayor & Qu
tau Boo b      3.312     4.320      1373   0.0490     0.011      1.34 Radial VelBorsa et a
ups And b      4.617    0.688        219   0.0592     0.021      1.30 Radial VelButler et
HD 187123      3.097    0.523        166   0.0426     0.010      1.00 Radial VelButler et
HD 217107      7.127     1.300       413   0.0800     0.130      1.00 Radial VelFischer et
HD 75289 b     3.509    0.490        156   0.0500     0.030      1.29 Radial VelUdry et al
HD 46375 b     3.024    0.226         72   0.0398     0.063      0.92 Radial VelMarcy et a
BD-10 3166     3.488    0.590        188   0.0400     0.020      1.47 Radial VelButler et
HD 179949      3.093    0.916        291   0.0443     0.022      1.21 Radial VelTinney et
HD 68988 b     6.277     1.970       626   0.0700     0.120      1.28 Radial VelVogt et al
HD 168746      6.404    0.270         86   0.0700     0.110      1.07 Radial VelPepe et al
HD 162020      8.428     9.840      3127   0.0800     0.280      0.42 Radial VelUdry et al
HD 83443 b     2.986    0.340        108   0.0400     0.010      0.79 Radial VelButler et
HD 76700 b     3.971    0.210         67   0.0500     0.090      0.99 Radial VelTinney et
HD 88133 b     3.415    0.284         90   0.0479     0.031      1.26 Radial VelFischer et
HD 118203      6.133     2.790       887   0.0700     0.310      1.84 Radial Velda Silva e
HD 149143      4.072     1.330       423   0.0530     0.017      1.20 Radial Velda Silva e
HIP 14810      6.674     3.900      1240   0.0696     0.144      1.01 Radial VelButler et
HD 86081 b     2.138     1.480       470   0.0346     0.012      1.21 Radial VelJohnson et
HD 185269      6.838     1.010       321   0.0770     0.229      1.30 Radial VelJohnson et
HAT-P-2 b      5.634     8.620      2740   0.0681     0.517      1.33 Transit   Bakos et a
CoRoT-2 b      1.743     3.470      1103   0.0280     0.014      0.96 Transit   Alonso et
WASP-5 b       1.628     1.580       502   0.0267     0.038      0.96 Transit   Anderson e
HAT-P-9 b      3.923    0.749        238   0.0529     0.084      1.28 Transit   Shporer et
CoRoT-5 b      4.038    0.467        148   0.0495     0.090      1.00 Transit   Rauer et a
WASP-19 b     0.789      1.069       340   0.0163     0.002      0.90 Transit   Hebb et al
CoRoT-6 b      8.887     2.960       941   0.0855     0.100      1.05 Transit   Fridlund e
CoRoT-12 b     2.828    0.917        291   0.0402     0.070      1.08 Transit   Gillon et
HAT-P-16 b     2.776     4.193      1333   0.0413     0.036      1.22 Transit   Buchhave e
HD 102956      6.495    0.960        305   0.0807     0.037      1.66 Radial VelJohnson et
HAT-P-18 b     5.508    0.197         63   0.0559     0.084      0.77 Transit   Hartman et
HAT-P-19 b     4.009    0.292         93   0.0466     0.067      0.84 Transit   Hartman et
HAT-P-28 b     3.257    0.626        199   0.0434     0.051      1.02 Transit   Buchhave e
KOI-13 b       1.764     9.280      2949   0.0364     0.001      1.72 Transit   Borucki et
WASP-23 b      2.944    0.884        281   0.0376     0.062      0.78 Transit   Triaud et
PSR J1719-    0.091      1.200       383   0.0044     0.060      1.40 Pulsar TimBailes et
CoRoT-18 b     1.900     3.470      1103   0.0295     0.080      0.95 Transit   Hebrard et
HAT-P-32 b     2.150    0.680        216   0.0340     0.159      1.13 Transit   Hartman et
Kepler-15      4.943    0.660        210   0.0571     0.060      1.02 Transit   Endl et al
Kepler-17      1.486     2.450       779   0.0259     0.011      1.16 Transit   Desert et
